high_risk_cohort,elig_start,prop_redacted,elig_redacted,treat_redacted
liver_disease,2022-08-20,0.25,40,10
liver_disease,2022-08-27,0.25,40,10
liver_disease,2022-09-03,0.5,40,20
liver_disease,2022-09-10,0.4,50,20
liver_disease,2022-09-17,0.3333,60,20
liver_disease,2022-09-24,0.25,80,20
liver_disease,2022-10-01,0.4,100,40
liver_disease,2022-10-08,0.25,80,20
liver_disease,2022-10-15,0.25,80,20
liver_disease,2022-10-22,0.3333,60,20
liver_disease,2022-10-29,0.3333,30,10
liver_disease,2022-11-05,0.5,40,20
liver_disease,2022-11-12,NA,20,NA
liver_disease,2022-11-19,0.3333,30,10
liver_disease,2022-11-26,0.25,40,10
liver_disease,2022-12-03,0.5,40,20
liver_disease,2022-12-10,0.1667,60,10
liver_disease,2022-12-17,0.2857,70,20
liver_disease,2022-12-24,0.25,80,20
liver_disease,2022-12-31,0.3333,60,20
liver_disease,2023-01-07,NA,20,NA
liver_disease,2023-01-14,NA,20,NA
liver_disease,2023-01-21,NA,20,NA
liver_disease,2023-01-28,0.3333,30,10
liver_disease,2023-02-04,0.25,40,10
liver_disease,2023-02-11,0.4,50,20
liver_disease,2023-02-18,0.25,40,10
liver_disease,2023-02-25,0.25,40,10
liver_disease,2023-03-04,0.25,40,10
liver_disease,2023-03-11,0.3333,60,20
liver_disease,2023-03-18,0.5,40,20
liver_disease,2023-03-25,0.2,50,10
liver_disease,2023-04-01,NA,20,NA
liver_disease,2023-04-08,0.3333,30,10
liver_disease,2023-04-15,NA,20,NA
liver_disease,2023-04-22,NA,20,NA
liver_disease,2023-04-29,NA,20,NA
liver_disease,2023-05-06,NA,10,NA
liver_disease,2023-05-13,NA,10,NA
liver_disease,2023-05-20,NA,10,NA
liver_disease,2023-05-27,NA,10,NA
liver_disease,2023-06-03,NA,10,NA
liver_disease,2023-06-10,NA,10,NA
liver_disease,2023-06-17,NA,10,NA
liver_disease,2023-06-24,NA,NA,NA
liver_disease,2023-07-01,NA,NA,NA
liver_disease,2023-07-08,NA,NA,NA
liver_disease,2023-07-15,NA,10,NA
liver_disease,2023-07-22,NA,20,NA
liver_disease,2023-07-29,NA,20,NA
liver_disease,2023-08-05,NA,NA,NA
liver_disease,2023-08-12,NA,20,NA
liver_disease,2023-08-19,NA,20,NA
liver_disease,2023-08-26,NA,10,NA
liver_disease,2023-09-02,NA,20,NA
liver_disease,2023-09-09,NA,20,NA
liver_disease,2023-09-16,NA,20,NA
liver_disease,2023-09-23,NA,30,NA
liver_disease,2023-09-30,NA,30,NA
liver_disease,2023-10-07,NA,30,NA
liver_disease,2023-10-14,NA,20,NA
liver_disease,2023-10-21,NA,10,NA
liver_disease,2023-10-28,NA,20,NA
liver_disease,2023-11-04,NA,10,NA
liver_disease,2023-11-11,NA,NA,NA
liver_disease,2023-11-18,NA,NA,NA
liver_disease,2023-11-25,NA,10,NA
liver_disease,2023-12-02,NA,10,NA
liver_disease,2023-12-09,NA,20,NA
liver_disease,2023-12-16,NA,10,NA
liver_disease,2023-12-23,NA,10,NA
liver_disease,2023-12-30,NA,10,NA
liver_disease,2024-01-06,NA,NA,NA
liver_disease,2024-01-13,NA,NA,NA
liver_disease,2024-01-20,NA,10,NA
liver_disease,2024-01-27,NA,10,NA
liver_disease,2024-02-03,NA,NA,NA
liver_disease,2024-02-10,NA,NA,NA
liver_disease,2024-02-17,NA,NA,NA
liver_disease,2024-02-24,NA,NA,NA
liver_disease,2024-03-02,NA,NA,NA
liver_disease,2024-03-23,NA,NA,NA
liver_disease,2024-03-30,NA,10,NA
liver_disease,2024-04-06,NA,NA,NA
liver_disease,2024-04-13,NA,10,NA
liver_disease,2024-04-20,NA,10,NA
liver_disease,2024-04-27,NA,NA,NA
imid,2021-12-11,0.119,840,100
imid,2021-12-18,0.1667,1680,280
imid,2021-12-25,0.1326,3770,500
imid,2022-01-01,0.124,3710,460
imid,2022-01-08,0.1574,2160,340
imid,2022-01-15,0.1694,1830,310
imid,2022-01-22,0.2,2000,400
imid,2022-01-29,0.2234,1880,420
imid,2022-02-05,0.2121,1320,280
imid,2022-02-12,0.2759,1160,320
imid,2022-02-19,0.2755,980,270
imid,2022-02-26,0.2642,1060,280
imid,2022-03-05,0.28,1750,490
imid,2022-03-12,0.246,2480,610
imid,2022-03-19,0.2363,2920,690
imid,2022-03-26,0.2491,2810,700
imid,2022-04-02,0.2581,2480,640
imid,2022-04-09,0.2812,1920,540
imid,2022-04-16,0.2878,1390,400
imid,2022-04-23,0.2817,710,200
imid,2022-04-30,0.3103,580,180
imid,2022-05-07,0.2766,470,130
imid,2022-05-14,0.325,400,130
imid,2022-05-21,0.3214,280,90
imid,2022-05-28,0.2778,360,100
imid,2022-06-04,0.3387,620,210
imid,2022-06-11,0.3373,830,280
imid,2022-06-18,0.3241,1080,350
imid,2022-06-25,0.3233,1330,430
imid,2022-07-02,0.3049,1640,500
imid,2022-07-09,0.3,1600,480
imid,2022-07-16,0.28,1000,280
imid,2022-07-23,0.3,800,240
imid,2022-07-30,0.3065,620,190
imid,2022-08-06,0.2857,490,140
imid,2022-08-13,0.3421,380,130
imid,2022-08-20,0.3333,270,90
imid,2022-08-27,0.4,300,120
imid,2022-09-03,0.4062,320,130
imid,2022-09-10,0.3684,380,140
imid,2022-09-17,0.3462,520,180
imid,2022-09-24,0.3333,720,240
imid,2022-10-01,0.3605,860,310
imid,2022-10-08,0.3288,730,240
imid,2022-10-15,0.303,660,200
imid,2022-10-22,0.3333,450,150
imid,2022-10-29,0.3548,310,110
imid,2022-11-05,0.3462,260,90
imid,2022-11-12,0.3478,230,80
imid,2022-11-19,0.36,250,90
imid,2022-11-26,0.3571,280,100
imid,2022-12-03,0.3824,340,130
imid,2022-12-10,0.3617,470,170
imid,2022-12-17,0.3281,640,210
imid,2022-12-24,0.3077,650,200
imid,2022-12-31,0.2708,480,130
imid,2023-01-07,0.2857,210,60
imid,2023-01-14,0.2941,170,50
imid,2023-01-21,0.3333,180,60
imid,2023-01-28,0.3214,280,90
imid,2023-02-04,0.2759,290,80
imid,2023-02-11,0.3243,370,120
imid,2023-02-18,0.3056,360,110
imid,2023-02-25,0.3438,320,110
imid,2023-03-04,0.3611,360,130
imid,2023-03-11,0.3488,430,150
imid,2023-03-18,0.3409,440,150
imid,2023-03-25,0.3438,320,110
imid,2023-04-01,0.3846,260,100
imid,2023-04-08,0.4545,220,100
imid,2023-04-15,0.4444,180,80
imid,2023-04-22,0.4667,150,70
imid,2023-04-29,0.5,180,90
imid,2023-05-06,0.4615,130,60
imid,2023-05-13,0.6,100,60
imid,2023-05-20,0.4167,120,50
imid,2023-05-27,0.4444,90,40
imid,2023-06-03,0.5,80,40
imid,2023-06-10,0.6,50,30
imid,2023-06-17,0.5,40,20
imid,2023-06-24,NA,30,NA
imid,2023-07-01,NA,20,NA
imid,2023-07-08,NA,30,NA
imid,2023-07-15,NA,30,NA
imid,2023-07-22,NA,50,NA
imid,2023-07-29,NA,50,NA
imid,2023-08-05,NA,60,NA
imid,2023-08-12,NA,70,NA
imid,2023-08-19,NA,70,NA
imid,2023-08-26,NA,80,NA
imid,2023-09-02,NA,120,NA
imid,2023-09-09,NA,80,NA
imid,2023-09-16,NA,80,NA
imid,2023-09-23,NA,170,NA
imid,2023-09-30,NA,140,NA
imid,2023-10-07,NA,150,NA
imid,2023-10-14,NA,120,NA
imid,2023-10-21,NA,70,NA
imid,2023-10-28,NA,80,NA
imid,2023-11-04,NA,60,NA
imid,2023-11-11,NA,40,NA
imid,2023-11-18,NA,30,NA
imid,2023-11-25,NA,40,NA
imid,2023-12-02,NA,40,NA
imid,2023-12-09,NA,60,NA
imid,2023-12-16,NA,100,NA
imid,2023-12-23,NA,90,NA
imid,2023-12-30,NA,80,NA
imid,2024-01-06,NA,40,NA
imid,2024-01-13,NA,30,NA
imid,2024-01-20,NA,40,NA
imid,2024-01-27,NA,40,NA
imid,2024-02-03,NA,40,NA
imid,2024-02-10,NA,20,NA
imid,2024-02-17,NA,10,NA
imid,2024-02-24,NA,10,NA
imid,2024-03-02,NA,20,NA
imid,2024-03-09,NA,20,NA
imid,2024-03-16,NA,10,NA
imid,2024-03-23,NA,10,NA
imid,2024-03-30,NA,20,NA
imid,2024-04-06,NA,20,NA
imid,2024-04-13,NA,30,NA
imid,2024-04-20,NA,40,NA
imid,2024-04-27,NA,30,NA
immunosupression,2021-12-11,0.0962,520,50
immunosupression,2021-12-18,0.1386,1010,140
immunosupression,2021-12-25,0.123,1870,230
immunosupression,2022-01-01,0.1,1800,180
immunosupression,2022-01-08,0.1373,1020,140
immunosupression,2022-01-15,0.1687,830,140
immunosupression,2022-01-22,0.1556,900,140
immunosupression,2022-01-29,0.1628,860,140
immunosupression,2022-02-05,0.1364,660,90
immunosupression,2022-02-12,0.2115,520,110
immunosupression,2022-02-19,0.2157,510,110
immunosupression,2022-02-26,0.2453,530,130
immunosupression,2022-03-05,0.2561,820,210
immunosupression,2022-03-12,0.208,1250,260
immunosupression,2022-03-19,0.2239,1340,300
immunosupression,2022-03-26,0.2214,1310,290
immunosupression,2022-04-02,0.2523,1070,270
immunosupression,2022-04-09,0.2529,870,220
immunosupression,2022-04-16,0.2581,620,160
immunosupression,2022-04-23,0.2857,350,100
immunosupression,2022-04-30,0.25,320,80
immunosupression,2022-05-07,0.2727,220,60
immunosupression,2022-05-14,0.2941,170,50
immunosupression,2022-05-21,0.3529,170,60
immunosupression,2022-05-28,0.3333,180,60
immunosupression,2022-06-04,0.375,320,120
immunosupression,2022-06-11,0.2895,380,110
immunosupression,2022-06-18,0.3125,480,150
immunosupression,2022-06-25,0.3125,640,200
immunosupression,2022-07-02,0.3165,790,250
immunosupression,2022-07-09,0.3056,720,220
immunosupression,2022-07-16,0.2857,490,140
immunosupression,2022-07-23,0.2941,340,100
immunosupression,2022-07-30,0.3077,260,80
immunosupression,2022-08-06,0.3684,190,70
immunosupression,2022-08-13,0.4,150,60
immunosupression,2022-08-20,0.3333,150,50
immunosupression,2022-08-27,0.3077,130,40
immunosupression,2022-09-03,0.4615,130,60
immunosupression,2022-09-10,0.3571,140,50
immunosupression,2022-09-17,0.2857,210,60
immunosupression,2022-09-24,0.3667,300,110
immunosupression,2022-10-01,0.3659,410,150
immunosupression,2022-10-08,0.3226,310,100
immunosupression,2022-10-15,0.3333,270,90
immunosupression,2022-10-22,0.4091,220,90
immunosupression,2022-10-29,0.4,150,60
immunosupression,2022-11-05,0.2,100,20
immunosupression,2022-11-12,0.3,100,30
immunosupression,2022-11-19,0.4,100,40
immunosupression,2022-11-26,0.3333,120,40
immunosupression,2022-12-03,0.4286,140,60
immunosupression,2022-12-10,0.3182,220,70
immunosupression,2022-12-17,0.3571,280,100
immunosupression,2022-12-24,0.3571,280,100
immunosupression,2022-12-31,0.2778,180,50
immunosupression,2023-01-07,0.4,100,40
immunosupression,2023-01-14,0.4286,70,30
immunosupression,2023-01-21,0.375,80,30
immunosupression,2023-01-28,0.4,100,40
immunosupression,2023-02-04,0.4545,110,50
immunosupression,2023-02-11,0.4,150,60
immunosupression,2023-02-18,0.4167,120,50
immunosupression,2023-02-25,0.3846,130,50
immunosupression,2023-03-04,0.4167,120,50
immunosupression,2023-03-11,0.4706,170,80
immunosupression,2023-03-18,0.4,150,60
immunosupression,2023-03-25,0.3636,110,40
immunosupression,2023-04-01,0.4,100,40
immunosupression,2023-04-08,0.4286,70,30
immunosupression,2023-04-15,0.3333,60,20
immunosupression,2023-04-22,0.2857,70,20
immunosupression,2023-04-29,0.5,80,40
immunosupression,2023-05-06,0.4286,70,30
immunosupression,2023-05-13,0.4,50,20
immunosupression,2023-05-20,0.4,50,20
immunosupression,2023-05-27,0.3333,30,10
immunosupression,2023-06-03,0.25,40,10
immunosupression,2023-06-10,0.5,20,10
immunosupression,2023-06-17,NA,10,NA
immunosupression,2023-06-24,NA,10,NA
immunosupression,2023-07-01,NA,10,NA
immunosupression,2023-07-08,NA,10,NA
immunosupression,2023-07-15,NA,10,NA
immunosupression,2023-07-22,NA,10,NA
immunosupression,2023-07-29,NA,20,NA
immunosupression,2023-08-05,NA,40,NA
immunosupression,2023-08-12,NA,40,NA
immunosupression,2023-08-19,NA,30,NA
immunosupression,2023-08-26,NA,40,NA
immunosupression,2023-09-02,NA,50,NA
immunosupression,2023-09-09,NA,40,NA
immunosupression,2023-09-16,NA,50,NA
immunosupression,2023-09-23,NA,70,NA
immunosupression,2023-09-30,NA,60,NA
immunosupression,2023-10-07,NA,70,NA
immunosupression,2023-10-14,NA,50,NA
immunosupression,2023-10-21,NA,30,NA
immunosupression,2023-10-28,NA,20,NA
immunosupression,2023-11-04,NA,20,NA
immunosupression,2023-11-11,NA,20,NA
immunosupression,2023-11-18,NA,20,NA
immunosupression,2023-11-25,NA,20,NA
immunosupression,2023-12-02,NA,20,NA
immunosupression,2023-12-09,NA,30,NA
immunosupression,2023-12-16,NA,50,NA
immunosupression,2023-12-23,NA,40,NA
immunosupression,2023-12-30,NA,30,NA
immunosupression,2024-01-06,NA,30,NA
immunosupression,2024-01-13,NA,10,NA
immunosupression,2024-01-20,NA,20,NA
immunosupression,2024-01-27,NA,20,NA
immunosupression,2024-02-03,NA,20,NA
immunosupression,2024-02-10,NA,10,NA
immunosupression,2024-02-17,NA,NA,NA
immunosupression,2024-02-24,NA,NA,NA
immunosupression,2024-03-02,NA,NA,NA
immunosupression,2024-03-09,NA,NA,NA
immunosupression,2024-03-16,NA,NA,NA
immunosupression,2024-03-23,NA,NA,NA
immunosupression,2024-03-30,NA,10,NA
immunosupression,2024-04-06,NA,10,NA
immunosupression,2024-04-13,NA,20,NA
immunosupression,2024-04-20,NA,20,NA
immunosupression,2024-04-27,NA,10,NA
hiv_aids,2021-12-11,0.5,20,10
hiv_aids,2021-12-18,0.75,40,30
hiv_aids,2021-12-25,0.6667,60,40
hiv_aids,2022-01-01,0.6,50,30
hiv_aids,2022-01-08,0.5,40,20
hiv_aids,2022-01-15,0.6667,30,20
hiv_aids,2022-01-22,0.3333,30,10
hiv_aids,2022-01-29,0.6667,30,20
hiv_aids,2022-02-05,0.5,20,10
hiv_aids,2022-02-12,1,10,10
hiv_aids,2022-02-19,0.5,20,10
hiv_aids,2022-02-26,1,20,20
hiv_aids,2022-03-05,0.6667,30,20
hiv_aids,2022-03-12,0.6667,30,20
hiv_aids,2022-03-19,0.6667,30,20
hiv_aids,2022-03-26,0.5,40,20
hiv_aids,2022-04-02,0.6667,30,20
hiv_aids,2022-04-09,0.5,20,10
hiv_aids,2022-04-16,1,10,10
hiv_aids,2022-04-23,NA,10,NA
hiv_aids,2022-04-30,NA,NA,NA
hiv_aids,2022-05-07,NA,NA,NA
hiv_aids,2022-05-14,NA,NA,NA
hiv_aids,2022-05-21,NA,NA,NA
hiv_aids,2022-05-28,NA,NA,NA
hiv_aids,2022-06-04,NA,10,NA
hiv_aids,2022-06-11,1,10,10
hiv_aids,2022-06-18,0.5,20,10
hiv_aids,2022-06-25,1,10,10
hiv_aids,2022-07-02,1,20,20
hiv_aids,2022-07-09,1,20,20
hiv_aids,2022-07-16,NA,10,NA
hiv_aids,2022-07-23,NA,NA,NA
hiv_aids,2022-07-30,NA,NA,NA
hiv_aids,2022-08-06,NA,NA,NA
hiv_aids,2022-08-13,NA,NA,NA
hiv_aids,2022-08-20,NA,NA,NA
hiv_aids,2022-09-03,NA,NA,NA
hiv_aids,2022-09-10,NA,NA,NA
hiv_aids,2022-09-17,NA,10,NA
hiv_aids,2022-09-24,NA,NA,NA
hiv_aids,2022-10-01,1,10,10
hiv_aids,2022-10-08,NA,NA,NA
hiv_aids,2022-10-15,NA,10,NA
hiv_aids,2022-10-22,NA,NA,NA
hiv_aids,2022-10-29,NA,NA,NA
hiv_aids,2022-11-05,NA,NA,NA
hiv_aids,2022-11-12,NA,NA,NA
hiv_aids,2022-11-19,NA,NA,NA
hiv_aids,2022-11-26,NA,NA,NA
hiv_aids,2022-12-03,NA,NA,NA
hiv_aids,2022-12-10,NA,NA,NA
hiv_aids,2022-12-17,NA,NA,NA
hiv_aids,2022-12-24,NA,10,NA
hiv_aids,2022-12-31,NA,NA,NA
hiv_aids,2023-01-07,NA,NA,NA
hiv_aids,2023-01-14,NA,NA,NA
hiv_aids,2023-01-21,NA,NA,NA
hiv_aids,2023-01-28,NA,NA,NA
hiv_aids,2023-02-04,NA,NA,NA
hiv_aids,2023-02-11,NA,NA,NA
hiv_aids,2023-02-18,NA,NA,NA
hiv_aids,2023-02-25,NA,NA,NA
hiv_aids,2023-03-04,NA,NA,NA
hiv_aids,2023-03-11,NA,NA,NA
hiv_aids,2023-03-18,NA,NA,NA
hiv_aids,2023-03-25,NA,NA,NA
hiv_aids,2023-04-01,NA,NA,NA
hiv_aids,2023-04-22,NA,NA,NA
hiv_aids,2023-04-29,NA,NA,NA
hiv_aids,2023-05-06,NA,NA,NA
hiv_aids,2023-05-13,NA,NA,NA
hiv_aids,2023-05-20,NA,NA,NA
hiv_aids,2023-05-27,NA,NA,NA
hiv_aids,2023-06-03,NA,NA,NA
hiv_aids,2023-07-29,NA,NA,NA
hiv_aids,2023-08-12,NA,NA,NA
hiv_aids,2023-09-02,NA,NA,NA
hiv_aids,2023-09-09,NA,NA,NA
hiv_aids,2023-09-16,NA,NA,NA
hiv_aids,2023-09-23,NA,NA,NA
hiv_aids,2023-10-07,NA,NA,NA
hiv_aids,2023-11-04,NA,NA,NA
hiv_aids,2023-11-11,NA,NA,NA
hiv_aids,2023-12-09,NA,NA,NA
hiv_aids,2023-12-23,NA,NA,NA
hiv_aids,2024-01-13,NA,NA,NA
hiv_aids,2024-01-20,NA,NA,NA
hiv_aids,2024-01-27,NA,NA,NA
solid_organ_transplant,2021-12-11,0.2,150,30
solid_organ_transplant,2021-12-18,0.303,330,100
solid_organ_transplant,2021-12-25,0.2609,690,180
solid_organ_transplant,2022-01-01,0.2063,630,130
solid_organ_transplant,2022-01-08,0.2857,350,100
solid_organ_transplant,2022-01-15,0.3448,290,100
solid_organ_transplant,2022-01-22,0.3448,290,100
solid_organ_transplant,2022-01-29,0.375,320,120
solid_organ_transplant,2022-02-05,0.3478,230,80
solid_organ_transplant,2022-02-12,0.35,200,70
solid_organ_transplant,2022-02-19,0.4118,170,70
solid_organ_transplant,2022-02-26,0.4706,170,80
solid_organ_transplant,2022-03-05,0.3871,310,120
solid_organ_transplant,2022-03-12,0.3953,430,170
solid_organ_transplant,2022-03-19,0.3488,430,150
solid_organ_transplant,2022-03-26,0.4222,450,190
solid_organ_transplant,2022-04-02,0.3947,380,150
solid_organ_transplant,2022-04-09,0.4667,300,140
solid_organ_transplant,2022-04-16,0.4,200,80
solid_organ_transplant,2022-04-23,0.4167,120,50
solid_organ_transplant,2022-04-30,0.4545,110,50
solid_organ_transplant,2022-05-07,0.3,100,30
solid_organ_transplant,2022-05-14,0.4,50,20
solid_organ_transplant,2022-05-21,0.5,60,30
solid_organ_transplant,2022-05-28,0.4286,70,30
solid_organ_transplant,2022-06-04,0.4167,120,50
solid_organ_transplant,2022-06-11,0.4615,130,60
solid_organ_transplant,2022-06-18,0.381,210,80
solid_organ_transplant,2022-06-25,0.4167,240,100
solid_organ_transplant,2022-07-02,0.4483,290,130
solid_organ_transplant,2022-07-09,0.4444,270,120
solid_organ_transplant,2022-07-16,0.4118,170,70
solid_organ_transplant,2022-07-23,0.4286,140,60
solid_organ_transplant,2022-07-30,0.4545,110,50
solid_organ_transplant,2022-08-06,0.5,80,40
solid_organ_transplant,2022-08-13,0.375,80,30
solid_organ_transplant,2022-08-20,0.25,40,10
solid_organ_transplant,2022-08-27,0.5,40,20
solid_organ_transplant,2022-09-03,0.6,50,30
solid_organ_transplant,2022-09-10,0.4286,70,30
solid_organ_transplant,2022-09-17,0.375,80,30
solid_organ_transplant,2022-09-24,0.5,140,70
solid_organ_transplant,2022-10-01,0.5,140,70
solid_organ_transplant,2022-10-08,0.4286,140,60
solid_organ_transplant,2022-10-15,0.3636,110,40
solid_organ_transplant,2022-10-22,0.375,80,30
solid_organ_transplant,2022-10-29,0.5,60,30
solid_organ_transplant,2022-11-05,0.6,50,30
solid_organ_transplant,2022-11-12,0.5,40,20
solid_organ_transplant,2022-11-19,0.4,50,20
solid_organ_transplant,2022-11-26,0.5,40,20
solid_organ_transplant,2022-12-03,0.5,60,30
solid_organ_transplant,2022-12-10,0.375,80,30
solid_organ_transplant,2022-12-17,0.4545,110,50
solid_organ_transplant,2022-12-24,0.3,100,30
solid_organ_transplant,2022-12-31,0.3333,60,20
solid_organ_transplant,2023-01-07,0.3333,30,10
solid_organ_transplant,2023-01-14,0.5,20,10
solid_organ_transplant,2023-01-21,0.3333,30,10
solid_organ_transplant,2023-01-28,0.5,40,20
solid_organ_transplant,2023-02-04,0.5,40,20
solid_organ_transplant,2023-02-11,0.5,40,20
solid_organ_transplant,2023-02-18,0.5,40,20
solid_organ_transplant,2023-02-25,0.5,40,20
solid_organ_transplant,2023-03-04,0.4,50,20
solid_organ_transplant,2023-03-11,0.5,60,30
solid_organ_transplant,2023-03-18,0.3333,60,20
solid_organ_transplant,2023-03-25,0.4,50,20
solid_organ_transplant,2023-04-01,0.5,40,20
solid_organ_transplant,2023-04-08,0.3333,30,10
solid_organ_transplant,2023-04-15,NA,20,NA
solid_organ_transplant,2023-04-22,0.6667,30,20
solid_organ_transplant,2023-04-29,0.6667,30,20
solid_organ_transplant,2023-05-06,0.5,20,10
solid_organ_transplant,2023-05-13,0.5,20,10
solid_organ_transplant,2023-05-20,NA,20,NA
solid_organ_transplant,2023-05-27,NA,20,NA
solid_organ_transplant,2023-06-03,NA,10,NA
solid_organ_transplant,2023-06-10,NA,NA,NA
solid_organ_transplant,2023-06-17,NA,10,NA
solid_organ_transplant,2023-06-24,NA,NA,NA
solid_organ_transplant,2023-07-01,NA,NA,NA
solid_organ_transplant,2023-07-08,NA,NA,NA
solid_organ_transplant,2023-07-15,NA,NA,NA
solid_organ_transplant,2023-07-22,NA,10,NA
solid_organ_transplant,2023-07-29,NA,10,NA
solid_organ_transplant,2023-08-05,NA,10,NA
solid_organ_transplant,2023-08-12,NA,10,NA
solid_organ_transplant,2023-08-19,NA,10,NA
solid_organ_transplant,2023-08-26,NA,20,NA
solid_organ_transplant,2023-09-02,NA,10,NA
solid_organ_transplant,2023-09-09,NA,10,NA
solid_organ_transplant,2023-09-16,NA,20,NA
solid_organ_transplant,2023-09-23,NA,30,NA
solid_organ_transplant,2023-09-30,NA,30,NA
solid_organ_transplant,2023-10-07,NA,30,NA
solid_organ_transplant,2023-10-14,NA,20,NA
solid_organ_transplant,2023-10-21,NA,10,NA
solid_organ_transplant,2023-10-28,NA,20,NA
solid_organ_transplant,2023-11-04,NA,NA,NA
solid_organ_transplant,2023-11-11,NA,NA,NA
solid_organ_transplant,2023-11-18,NA,10,NA
solid_organ_transplant,2023-11-25,NA,NA,NA
solid_organ_transplant,2023-12-02,NA,NA,NA
solid_organ_transplant,2023-12-09,NA,10,NA
solid_organ_transplant,2023-12-16,NA,10,NA
solid_organ_transplant,2023-12-23,NA,10,NA
solid_organ_transplant,2023-12-30,NA,10,NA
solid_organ_transplant,2024-01-06,NA,NA,NA
solid_organ_transplant,2024-01-13,NA,NA,NA
solid_organ_transplant,2024-01-20,NA,NA,NA
solid_organ_transplant,2024-01-27,NA,NA,NA
solid_organ_transplant,2024-02-03,NA,NA,NA
solid_organ_transplant,2024-02-10,NA,NA,NA
solid_organ_transplant,2024-02-17,NA,NA,NA
solid_organ_transplant,2024-02-24,NA,NA,NA
solid_organ_transplant,2024-03-02,NA,NA,NA
solid_organ_transplant,2024-03-09,NA,NA,NA
solid_organ_transplant,2024-03-23,NA,NA,NA
solid_organ_transplant,2024-03-30,NA,NA,NA
solid_organ_transplant,2024-04-06,NA,NA,NA
solid_organ_transplant,2024-04-13,NA,NA,NA
solid_organ_transplant,2024-04-20,NA,NA,NA
solid_organ_transplant,2024-04-27,NA,NA,NA
rare_neurological_conditions,2021-12-11,0.1429,280,40
rare_neurological_conditions,2021-12-18,0.2174,460,100
rare_neurological_conditions,2021-12-25,0.1584,1010,160
rare_neurological_conditions,2022-01-01,0.1553,1030,160
rare_neurological_conditions,2022-01-08,0.1695,590,100
rare_neurological_conditions,2022-01-15,0.1818,550,100
rare_neurological_conditions,2022-01-22,0.2333,600,140
rare_neurological_conditions,2022-01-29,0.2,500,100
rare_neurological_conditions,2022-02-05,0.2353,340,80
rare_neurological_conditions,2022-02-12,0.2727,330,90
rare_neurological_conditions,2022-02-19,0.3429,350,120
rare_neurological_conditions,2022-02-26,0.3333,330,110
rare_neurological_conditions,2022-03-05,0.3396,530,180
rare_neurological_conditions,2022-03-12,0.2821,780,220
rare_neurological_conditions,2022-03-19,0.3152,920,290
rare_neurological_conditions,2022-03-26,0.2921,890,260
rare_neurological_conditions,2022-04-02,0.3333,720,240
rare_neurological_conditions,2022-04-09,0.3704,540,200
rare_neurological_conditions,2022-04-16,0.325,400,130
rare_neurological_conditions,2022-04-23,0.3182,220,70
rare_neurological_conditions,2022-04-30,0.4,150,60
rare_neurological_conditions,2022-05-07,0.3571,140,50
rare_neurological_conditions,2022-05-14,0.3636,110,40
rare_neurological_conditions,2022-05-21,0.4444,90,40
rare_neurological_conditions,2022-05-28,0.3333,90,30
rare_neurological_conditions,2022-06-04,0.375,160,60
rare_neurological_conditions,2022-06-11,0.4348,230,100
rare_neurological_conditions,2022-06-18,0.375,320,120
rare_neurological_conditions,2022-06-25,0.3846,390,150
rare_neurological_conditions,2022-07-02,0.38,500,190
rare_neurological_conditions,2022-07-09,0.3404,470,160
rare_neurological_conditions,2022-07-16,0.3333,300,100
rare_neurological_conditions,2022-07-23,0.35,200,70
rare_neurological_conditions,2022-07-30,0.4,150,60
rare_neurological_conditions,2022-08-06,0.3571,140,50
rare_neurological_conditions,2022-08-13,0.4,100,40
rare_neurological_conditions,2022-08-20,0.4,100,40
rare_neurological_conditions,2022-08-27,0.5,80,40
rare_neurological_conditions,2022-09-03,0.5556,90,50
rare_neurological_conditions,2022-09-10,0.5455,110,60
rare_neurological_conditions,2022-09-17,0.4615,130,60
rare_neurological_conditions,2022-09-24,0.4118,170,70
rare_neurological_conditions,2022-10-01,0.375,240,90
rare_neurological_conditions,2022-10-08,0.4286,210,90
rare_neurological_conditions,2022-10-15,0.3889,180,70
rare_neurological_conditions,2022-10-22,0.3846,130,50
rare_neurological_conditions,2022-10-29,0.4444,90,40
rare_neurological_conditions,2022-11-05,0.375,80,30
rare_neurological_conditions,2022-11-12,0.5,60,30
rare_neurological_conditions,2022-11-19,0.2857,70,20
rare_neurological_conditions,2022-11-26,0.375,80,30
rare_neurological_conditions,2022-12-03,0.3636,110,40
rare_neurological_conditions,2022-12-10,0.4286,140,60
rare_neurological_conditions,2022-12-17,0.3684,190,70
rare_neurological_conditions,2022-12-24,0.3158,190,60
rare_neurological_conditions,2022-12-31,0.3077,130,40
rare_neurological_conditions,2023-01-07,0.4,50,20
rare_neurological_conditions,2023-01-14,0.5,40,20
rare_neurological_conditions,2023-01-21,0.3333,60,20
rare_neurological_conditions,2023-01-28,0.375,80,30
rare_neurological_conditions,2023-02-04,0.4286,70,30
rare_neurological_conditions,2023-02-11,0.375,80,30
rare_neurological_conditions,2023-02-18,0.4286,70,30
rare_neurological_conditions,2023-02-25,0.4286,70,30
rare_neurological_conditions,2023-03-04,0.5,80,40
rare_neurological_conditions,2023-03-11,0.3333,90,30
rare_neurological_conditions,2023-03-18,0.4545,110,50
rare_neurological_conditions,2023-03-25,0.3333,60,20
rare_neurological_conditions,2023-04-01,0.2857,70,20
rare_neurological_conditions,2023-04-08,0.3333,60,20
rare_neurological_conditions,2023-04-15,0.5,40,20
